time(s),robot.pos.x(m),robot.pos.y(m),robot.pos.rz(rad),robot.vel.x(m),robot.vel.y(m),robot.vel.rz(rad),decawave.x,decawave.y
81516.097, -6.5028964, -1.0061719, -1.5858769, 0, 0, 0, -6.5, -1
81516.117, -6.499699, -1.0060176, -1.5856193, 0, 0, 0, -6.5, -1
81516.144, -6.4997065, -1.0058671, -1.5850867, 0, 0, 0, -6.5, -1
81516.168, -6.4997065, -1.0058671, -1.5850867, 0, 0, 0, -6.5, -1
81516.193, -6.5028389, -1.0057205, -1.5845891, 0, 0, 0, -6.5, -1
81516.227, -6.5027679, -1.0055774, -1.5842429, 0, 0, 0, -6.5, -1
81516.245, -6.5026987, -1.005438, -1.5814823, 0, 0, 0, -6.5, -1
81516.274, -6.5026312, -1.0053021, -1.5819773, 0, 0, 0, -6.5, -1
81516.301, -6.5026312, -1.0053021, -1.5819773, 0, 0, 0, -6.5, -1
81516.327, -6.5025655, -1.0020445, -1.5833803, 0, 0, 0, -6.5, -1
81516.355, -6.5025013, -1.0019934, -1.5834253, 0, 0, 0, -6.5, -1
81516.379, -6.5024388, -1.0019436, -1.5869811, 0, 0, 0, -6.5, -1
81516.404, -6.5024388, -1.0019436, -1.5869811, 0, 0, 0, -6.5, -1
81516.43, -6.5023778, -1.001895, -1.5850325, 0, 0, 0, -6.5, -1
81516.455, -6.5023184, -1.0018476, -1.5838071, 0, 0, 0, -6.5, -1
81516.486, -6.5053854, -1.0018014, -1.5821317, 0, 0, 0, -6.5, -1
81516.508, -6.5052508, -1.0017564, -1.5799642, 0, 0, 0, -6.5, -1
81516.533, -6.5052508, -1.0017564, -1.5799642, 0, 0, 0, -6.5, -1
81516.56, -6.5051195, -1.0017125, -1.5784883, 0, 0, 0, -6.5, -1
81516.587, -6.5049915, -1.0016697, -1.5775177, 0, 0, 0, -6.5, -1
81516.616, -6.5017417, -1.0016279, -1.5770218, 0, 0, 0, -6.5, -1
81516.641, -6.5016982, -1.0015872, -1.5722465, 0, 0, 0, -6.5, -1
81516.668, -6.5016982, -1.0015872, -1.5722465, 0, 0, 0, -6.5, -1
81516.697, -6.5047807, -0.99842253, -1.5742257, 0, 0, 0, -6.5, -1
81516.721, -6.5046612, -0.99846197, -1.5791669, 0, 0, 0, -6.5, -1
81516.751, -6.5045447, -0.99850042, -1.5824784, 0, 0, 0, -6.5, -1
81516.774, -6.5013061, -0.99853791, -1.5756613, 0, 0, 0, -6.5, -1
81516.8, -6.5013061, -0.99853791, -1.5756613, 0, 0, 0, -6.5, -1
81516.827, -6.5012734, -0.99857446, -1.5725088, 0, 0, 0, -6.5, -1
81516.852, -6.4981166, -0.9986101, -1.5731742, 0, 0, 0, -6.5, -1
81516.877, -6.4981637, -0.99864485, -1.5714055, 0, 0, 0, -6.5, -1
81516.902, -6.4981637, -0.99864485, -1.5714055, 0, 0, 0, -6.5, -1
81516.929, -6.4982096, -0.99867873, -1.5684318, 0, 0, 0, -6.5, -1
81516.956, -6.4982543, -0.99871176, -1.5685678, 0, 0, 0, -6.5, -1
81516.982, -6.501423, -0.99874397, -1.5709283, 0, 0, 0, -6.5, -1
81517.017, -6.5013874, -1.0019004, -1.571223, 0, 0, 0, -6.5, -1
81517.037, -6.5013874, -1.0019004, -1.571223, 0, 0, 0, -6.5, -1
81517.06, -6.5013527, -1.0018529, -1.5709076, 0, 0, 0, -6.5, -1
81517.087, -6.5013189, -0.99868154, -1.5719343, 0, 0, 0, -6.5, -1
81517.113, -6.5012859, -0.9987145, -1.574138, 0, 0, 0, -6.5, -1
81517.142, -6.5012538, -0.99874663, -1.5744402, 0, 0, 0, -6.5, -1
81517.166, -6.5012538, -0.99874663, -1.5744402, 0, 0, 0, -6.5, -1
81517.191, -6.5012224, -0.99877797, -1.5715858, 0, 0, 0, -6.5, -1
81517.218, -6.5043169, -0.99880852, -1.5686691, 0, 0, 0, -6.5, -1
81517.244, -6.504209, -0.99571331, -1.567053, 0, 0, 0, -6.5, -1
