time(s),robot.pos.x(m),robot.pos.y(m),robot.pos.rz(rad),robot.vel.x(m),robot.vel.y(m),robot.vel.rz(rad),decawave.x,decawave.y
80318.161,0,0,0,0,0,0,-6.5,-1
80318.17,0,0,0,0,0,0,-6.5,-1
80318.199,0,0,0,0,0,0,-6.5,-1
80318.233,0,0,0,0,0,0,-6.5,-1
80318.258,0,0,0,0,0,0,-6.5,-1
80318.281,0,0,0,0,0,0,-6.5,-1
80318.312,0,0,0,0,0,0,-6.5,-1
80318.339,0,0,0,0,0,0,-6.5,-1
80318.371,0,0,0,0,0,0,-6.5,-1
80318.402,0,0,0,0,0,0,-6.5,-1
80318.424,0,0,0,0,0,0,-6.5,-1
80318.449,0,0,0,0,0,0,-6.5,-1
80318.476,0,0,0,0,0,0,-6.5,-1
80318.502,0,0,0,0,0,0,-6.5,-1
80318.532,0,0,0,0,0,0,-6.5,-1
80318.557,0,0,0,0,0,0,-6.5,-1
80318.584,0,0,0,0,0,0,-6.5,-1
80318.61,0,0,0,0,0,0,-6.5,-1
80318.638,0,0,0,0,0,0,-6.5,-1
80318.67,0,0,0,0,0,0,-6.5,-1
80318.697,0,0,0,0,0,0,-6.5,-1
80318.732,0,0,0,0,0,0,-6.5,-1
80318.759,0,0,0,0,0,0,-6.5,-1
80318.785,0,0,0,0,0,0,-6.5,-1
80318.817,0,0,0,0,0,0,-6.5,-1
80318.836,0,0,0,0,0,0,-6.5,-1
80318.865,0,0,0,0,0,0,-6.5,-1
80318.892,0,0,0,0,0,0,-6.5,-1
80318.917,0,0,0,0,0,0,-6.5,-1
80318.947,0,0,0,0,0,0,-6.5,-1
80318.971,0,0,0,0,0,0,-6.5,-1
80318.997,0,0,0,0,0,0,-6.5,-1
80319.025,0,0,0,0,0,0,-6.5,-1
80319.05,0,0,0,0,0,0,-6.5,-1
80319.081,0,0,0,0,0,0,-6.5,-1
80319.107,0,0,0,0,0,0,-6.5,-1
80319.136,0,0,0,0,0,0,-6.5,-1
80319.16,0,0,0,0,0,0,-6.5,-1
80319.186,0,0,0,0,0,0,-6.5,-1
80319.216,0,0,0,0,0,0,-6.5,-1
80319.239,0,0,0,0,0,0,-6.5,-1
80319.264,0,0,0,0,0,0,-6.5,-1
80319.29,0,0,0,0,0,0,-6.5,-1
80319.317,0,0,0,0,0,0,-6.5,-1
80319.349,0,0,0,0,0,0,-6.5,-1
80319.369,0,0,0,0,0,0,-6.5,-1
80319.394,0,0,0,0,0,0,-6.5,-1
80319.42,0,0,0,0,0,0,-6.5,-1
80319.445,0,0,0,0,0,0,-6.5,-1
80319.474,0,0,0,0,0,0,-6.5,-1
80319.497,0,0,0,0,0,0,-6.5,-1
80319.524,0,0,0,0,0,0,-6.5,-1
80319.553,0,0,0,0,0,0,-6.5,-1
80319.58,0,0,0,0,0,0,-6.5,-1
80319.612,0,0,0,0,0,0,-6.5,-1
80319.632,0,0,0,0,0,0,-6.5,-1
80319.66,0,0,0,0,0,0,-6.5,-1
80319.685,0,0,0,0,0,0,-6.5,-1
80319.712,0,0,0,0,0,0,-6.5,-1
80319.738,0,0,0,0,0,0,-6.5,-1
