time(s),robot.pos.x(m),robot.pos.y(m),robot.pos.rz(rad),robot.vel.x(m),robot.vel.y(m),robot.vel.rz(rad),decawave.x,decawave.y
81150.093, 0, 0, 0, 0, 0, 0, -6.5, -1
81150.109, 0, 0, 0, 0, 0, 0, -6.5, -1
81150.136, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.164, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.19, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.221, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.241, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.269, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.294, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.32, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.362, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.374, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.4, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.436, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.454, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.485, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.512, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.541, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.568, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.594, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.622, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.645, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.671, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.697, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.724, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.757, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.782, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.809, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.836, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.861, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.895, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.913, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.94, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.965, 0, 0, 0, -0, 0, 0, -6.5, -1
81150.992, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.025, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.049, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.074, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.1, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.125, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.155, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.178, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.205, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.232, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.258, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.288, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.309, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.335, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.36, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.386, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.416, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.437, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.464, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.491, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.518, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.548, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.573, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.6, 0, 0, 0, -0, 0, 0, -6.5, -1
81151.629, 0, 0, 0, -0, 0, 0, -6.5, -1
